12:31:27.43 25:51:23.76 24.228±0.027 23.640±0.021 23.445±0.025 — —
12:31:36.66 25:51:32.25 24.726±0.068 23.947±0.029 23.590±0.029 — —
12:31:07.71 25:51:34.35 23.477±0.020 22.995±0.017 22.731±0.018 — —
12:31:26.73 25:51:34.92 23.739±0.024 23.225±0.018 22.966±0.020 — —
12:31:39.90 25:51:37.26 24.088±0.027 23.372±0.020 22.980±0.019 — —
12:31:15.44 25:51:38.23 23.682±0.021 23.201±0.018 22.894±0.019 — —
12:31:13.51 25:51:42.59 24.403±0.028 23.947±0.030 23.669±0.030 — —
12:31:20.04 25:52:05.88 21.474±0.019 20.855±0.015 20.599±0.016 — —
12:31:02.81 25:52:08.58 23.210±0.020 22.571±0.016 22.258±0.017 — —
12:31:45.65 25:52:18.33 24.273±0.024 23.738±0.022 23.400±0.024 — —
12:31:38.94 25:52:23.70 21.632±0.019 20.944±0.015 20.615±0.016 — —
12:31:02.11 25:52:23.95 24.263±0.024 23.649±0.020 23.466±0.024 — —
12:31:35.38 25:52:38.35 24.734±0.193 24.193±0.063 23.784±0.039 — —
12:31:23.16 25:52:44.47 24.024±0.026 23.447±0.020 23.195±0.021 — —
12:31:38.60 25:52:54.44 21.554±0.019 20.999±0.015 20.776±0.016 — —
12:31:26.43 25:52:59.92 24.571±0.030 23.840±0.022 23.593±0.027 — —
12:31:22.68 25:53:11.08 24.812±0.033 24.030±0.024 23.713±0.027 — —
12:31:38.06 25:53:14.64 24.168±0.028 23.505±0.022 23.275±0.025 — —
12:31:20.85 25:53:20.58 24.055±0.024 23.581±0.020 23.330±0.023 — —
12:31:38.31 25:53:26.09 23.699±0.023 23.051±0.018 22.663±0.019 — —
12:31:14.65 25:53:55.65 22.493±0.019 21.857±0.015 21.551±0.016 — —
12:31:24.23 25:46:00.51 22.792±0.278 21.907±0.223 21.502±0.227 — —
12:31:24.01 25:46:00.77 22.167±0.114 21.642±0.126 21.269±0.136 — —
